time_start,time_end,cloud_description,relative_humidity,clouds,precip,temperature,icon,code
2016-10-01,2016-10-02,Broken_clouds,73.0,63.0,0.0,23.0,c03n,803
2016-10-02,2016-10-03,Broken_clouds,,,,,,
2016-10-03,2016-10-04,Broken_clouds,74.2,61.2,0.0,24.6,c03n,803
2016-10-04,2016-10-05,Broken_clouds,80.17,62.83,0.0,22.67,c03n,803
2016-10-05,2016-10-06,Broken_clouds,71.0,62.2,0.0,25.2,c03n,803
2016-10-06,2016-10-07,Broken_clouds,59.5,63.5,0.0,28.5,c03d,803
2016-10-07,2016-10-08,Broken_clouds,69.0,63.38,0.0,24.12,c03d,803
2016-10-08,2016-10-09,Broken_clouds,78.43,57.29,0.0,21.43,c03n,803
2016-10-09,2016-10-10,Broken_clouds,69.95,56.32,0.0,24.47,c03n,803
2016-10-10,2016-10-11,Broken_clouds,61.0,61.0,0.0,27.6,c03n,803
2016-10-11,2016-10-12,Broken_clouds,62.64,55.36,0.0,26.45,c03n,803
2016-10-12,2016-10-13,Broken_clouds,66.0,50.83,0.0,24.67,c03n,803
2016-10-13,2016-10-14,Broken_clouds,71.58,55.92,0.0,24.33,c03n,803
2016-10-14,2016-10-15,Broken_clouds,63.67,63.5,0.0,27.17,c03d,803
2016-10-15,2016-10-16,Broken_clouds,61.17,53.5,0.0,27.0,c03d,803
2016-10-16,2016-10-17,Broken_clouds,62.33,49.0,0.0,27.0,c03d,803
2016-10-17,2016-10-18,Broken_clouds,70.17,47.0,0.0,24.0,c03n,803
2016-10-18,2016-10-19,Broken_clouds,78.14,54.43,0.0,21.43,c03n,803
2016-10-19,2016-10-20,Broken_clouds,,,,,,
2016-10-20,2016-10-21,Broken_clouds,,,,,,
2016-10-21,2016-10-22,Broken_clouds,67.71,57.86,0.0,25.43,c03n,803
2016-10-22,2016-10-23,Broken_clouds,69.19,54.56,0.0,24.25,c03n,803
2016-10-23,2016-10-24,Broken_clouds,73.0,44.0,0.0,22.0,c03n,803
2016-10-24,2016-10-25,Broken_clouds,57.6,47.0,0.0,18.4,c03d,803
2016-10-25,2016-10-26,Broken_clouds,73.5,58.5,0.0,21.5,c03n,803
2016-10-26,2016-10-27,Broken_clouds,73.83,49.83,0.0,23.67,c03n,803
2016-10-27,2016-10-28,Broken_clouds,70.4,51.6,0.0,24.6,c03n,803
2016-10-28,2016-10-29,Broken_clouds,76.8,57.4,0.0,22.2,c03n,803
2016-10-29,2016-10-30,Broken_clouds,73.0,52.5,0.0,23.5,c03n,803
