time_start,time_end,cloud_description,relative_humidity,clouds,precip,temperature,icon,code
2016-10-01,2016-10-02,Clear_Sky,,,,,,
2016-10-02,2016-10-03,Clear_Sky,,,,,,
2016-10-03,2016-10-04,Clear_Sky,,,,,,
2016-10-04,2016-10-05,Clear_Sky,,,,,,
2016-10-05,2016-10-06,Clear_Sky,,,,,,
2016-10-06,2016-10-07,Clear_Sky,,,,,,
2016-10-07,2016-10-08,Clear_Sky,,,,,,
2016-10-08,2016-10-09,Clear_Sky,,,,,,
2016-10-09,2016-10-10,Clear_Sky,,,,,,
2016-10-10,2016-10-11,Clear_Sky,,,,,,
2016-10-11,2016-10-12,Clear_Sky,,,,,,
2016-10-12,2016-10-13,Clear_Sky,,,,,,
2016-10-13,2016-10-14,Clear_Sky,,,,,,
2016-10-14,2016-10-15,Clear_Sky,,,,,,
2016-10-15,2016-10-16,Clear_Sky,,,,,,
2016-10-16,2016-10-17,Clear_Sky,,,,,,
2016-10-17,2016-10-18,Clear_Sky,56.5,0.5,0.0,29.5,c01d,800
2016-10-18,2016-10-19,Clear_Sky,62.56,0.44,0.0,26.44,c01d,800
2016-10-19,2016-10-20,Clear_Sky,68.0,0.0,0.0,25.33,c01d,800
2016-10-20,2016-10-21,Clear_Sky,,,,,,
2016-10-21,2016-10-22,Clear_Sky,52.5,1.0,0.0,29.0,c01d,800
2016-10-22,2016-10-23,Clear_Sky,,,,,,
2016-10-23,2016-10-24,Clear_Sky,,,,,,
2016-10-24,2016-10-25,Clear_Sky,,,,,,
2016-10-25,2016-10-26,Clear_Sky,,,,,,
2016-10-26,2016-10-27,Clear_Sky,,,,,,
2016-10-27,2016-10-28,Clear_Sky,,,,,,
2016-10-28,2016-10-29,Clear_Sky,,,,,,
2016-10-29,2016-10-30,Clear_Sky,,,,,,
2016-10-30,2016-10-31,Clear_Sky,71.0,0.5,0.0,25.0,c01d,800
2016-10-31,2016-11-01,Clear_Sky,,,,,,
2016-11-01,2016-11-02,Clear_Sky,,,,,,
2016-11-02,2016-11-03,Clear_Sky,,,,,,
2016-11-03,2016-11-04,Clear_Sky,,,,,,
2016-11-04,2016-11-05,Clear_Sky,,,,,,
2016-11-05,2016-11-06,Clear_Sky,,,,,,
2016-11-06,2016-11-07,Clear_Sky,54.0,1.0,0.0,29.0,c01d,800
2016-11-07,2016-11-08,Clear_Sky,48.0,1.0,0.0,30.0,c01d,800
2016-11-08,2016-11-09,Clear_Sky,54.0,1.0,0.0,29.0,c01d,800
2016-11-09,2016-11-10,Clear_Sky,,,,,,
2016-11-10,2016-11-11,Clear_Sky,,,,,,
2016-11-11,2016-11-12,Clear_Sky,,,,,,
2016-11-12,2016-11-13,Clear_Sky,,,,,,
2016-11-13,2016-11-14,Clear_Sky,,,,,,
2016-11-14,2016-11-15,Clear_Sky,,,,,,
2016-11-15,2016-11-16,Clear_Sky,,,,,,
2016-11-16,2016-11-17,Clear_Sky,,,,,,
2016-11-17,2016-11-18,Clear_Sky,,,,,,
2016-11-18,2016-11-19,Clear_Sky,,,,,,
2016-11-19,2016-11-20,Clear_Sky,,,,,,
2016-11-20,2016-11-21,Clear_Sky,,,,,,
2016-11-21,2016-11-22,Clear_Sky,57.4,0.2,0.0,28.8,c01d,800
2016-11-22,2016-11-23,Clear_Sky,,,,,,
2016-11-23,2016-11-24,Clear_Sky,,,,,,
2016-11-24,2016-11-25,Clear_Sky,,,,,,
2016-11-25,2016-11-26,Clear_Sky,,,,,,
2016-11-26,2016-11-27,Clear_Sky,,,,,,
2016-11-27,2016-11-28,Clear_Sky,,,,,,
2016-11-28,2016-11-29,Clear_Sky,,,,,,
2016-11-29,2016-11-30,Clear_Sky,,,,,,
2016-11-30,2016-12-01,Clear_Sky,,,,,,
2016-12-01,2016-12-02,Clear_Sky,,,,,,
2016-12-02,2016-12-03,Clear_Sky,,,,,,
2016-12-03,2016-12-04,Clear_Sky,,,,,,
2016-12-04,2016-12-05,Clear_Sky,,,,,,
2016-12-05,2016-12-06,Clear_Sky,,,,,,
2016-12-06,2016-12-07,Clear_Sky,,,,,,
2016-12-07,2016-12-08,Clear_Sky,,,,,,
2016-12-08,2016-12-09,Clear_Sky,,,,,,
2016-12-09,2016-12-10,Clear_Sky,,,,,,
2016-12-10,2016-12-11,Clear_Sky,,,,,,
2016-12-11,2016-12-12,Clear_Sky,,,,,,
2016-12-12,2016-12-13,Clear_Sky,,,,,,
2016-12-13,2016-12-14,Clear_Sky,,,,,,
2016-12-14,2016-12-15,Clear_Sky,,,,,,
2016-12-15,2016-12-16,Clear_Sky,,,,,,
2016-12-16,2016-12-17,Clear_Sky,,,,,,
2016-12-17,2016-12-18,Clear_Sky,,,,,,
2016-12-18,2016-12-19,Clear_Sky,,,,,,
2016-12-19,2016-12-20,Clear_Sky,,,,,,
2016-12-20,2016-12-21,Clear_Sky,,,,,,
2016-12-21,2016-12-22,Clear_Sky,50.0,0.8,0.0,30.4,c01d,800
2016-12-22,2016-12-23,Clear_Sky,,,,,,
2016-12-23,2016-12-24,Clear_Sky,,,,,,
2016-12-24,2016-12-25,Clear_Sky,,,,,,
2016-12-25,2016-12-26,Clear_Sky,,,,,,
2016-12-26,2016-12-27,Clear_Sky,,,,,,
2016-12-27,2016-12-28,Clear_Sky,,,,,,
2016-12-28,2016-12-29,Clear_Sky,,,,,,
2016-12-29,2016-12-30,Clear_Sky,,,,,,
2016-12-30,2016-12-31,Clear_Sky,,,,,,
2016-12-31,2017-01-01,Clear_Sky,,,,,,
2017-01-01,2017-01-02,Clear_Sky,,,,,,
2017-01-02,2017-01-03,Clear_Sky,,,,,,
2017-01-03,2017-01-04,Clear_Sky,,,,,,
2017-01-04,2017-01-05,Clear_Sky,,,,,,
2017-01-05,2017-01-06,Clear_Sky,,,,,,
2017-01-06,2017-01-07,Clear_Sky,,,,,,
2017-01-07,2017-01-08,Clear_Sky,,,,,,
2017-01-08,2017-01-09,Clear_Sky,,,,,,
2017-01-09,2017-01-10,Clear_Sky,,,,,,
2017-01-10,2017-01-11,Clear_Sky,,,,,,
2017-01-11,2017-01-12,Clear_Sky,,,,,,
2017-01-12,2017-01-13,Clear_Sky,,,,,,
2017-01-13,2017-01-14,Clear_Sky,,,,,,
2017-01-14,2017-01-15,Clear_Sky,,,,,,
2017-01-15,2017-01-16,Clear_Sky,,,,,,
2017-01-16,2017-01-17,Clear_Sky,,,,,,
2017-01-17,2017-01-18,Clear_Sky,,,,,,
2017-01-18,2017-01-19,Clear_Sky,,,,,,
2017-01-19,2017-01-20,Clear_Sky,,,,,,
2017-01-20,2017-01-21,Clear_Sky,,,,,,
2017-01-21,2017-01-22,Clear_Sky,,,,,,
2017-01-22,2017-01-23,Clear_Sky,,,,,,
2017-01-23,2017-01-24,Clear_Sky,,,,,,
2017-01-24,2017-01-25,Clear_Sky,,,,,,
2017-01-25,2017-01-26,Clear_Sky,,,,,,
2017-01-26,2017-01-27,Clear_Sky,,,,,,
2017-01-27,2017-01-28,Clear_Sky,,,,,,
2017-01-28,2017-01-29,Clear_Sky,,,,,,
2017-01-29,2017-01-30,Clear_Sky,,,,,,
2017-01-30,2017-01-31,Clear_Sky,,,,,,
