time_start,time_end,cloud_description,relative_humidity,clouds,precip,temperature,icon,code
2019-10-01,2019-10-02,Few_clouds,,,,,,
2019-10-02,2019-10-03,Few_clouds,,,,,,
2019-10-03,2019-10-04,Few_clouds,,,,,,
2019-10-04,2019-10-05,Few_clouds,,,,,,
2019-10-05,2019-10-06,Few_clouds,58.0,18.0,0.0,29.0,c02d,801
2019-10-06,2019-10-07,Few_clouds,,,,,,
2019-10-07,2019-10-08,Few_clouds,61.0,19.0,0.0,28.0,c02d,801
2019-10-08,2019-10-09,Few_clouds,,,,,,
2019-10-09,2019-10-10,Few_clouds,69.6,8.8,0.0,25.6,c02n,801
2019-10-10,2019-10-11,Few_clouds,65.0,18.33,0.0,26.0,c02d,801
2019-10-11,2019-10-12,Few_clouds,61.8,17.8,0.0,27.6,c02d,801
2019-10-12,2019-10-13,Few_clouds,,,,,,
2019-10-13,2019-10-14,Few_clouds,,,,,,
2019-10-14,2019-10-15,Few_clouds,56.0,19.0,0.0,29.5,c02d,801
2019-10-15,2019-10-16,Few_clouds,,,,,,
2019-10-16,2019-10-17,Few_clouds,,,,,,
2019-10-17,2019-10-18,Few_clouds,69.0,16.0,0.0,26.0,c02d,801
2019-10-18,2019-10-19,Few_clouds,,,,,,
2019-10-19,2019-10-20,Few_clouds,,,,,,
2019-10-20,2019-10-21,Few_clouds,,,,,,
2019-10-21,2019-10-22,Few_clouds,,,,,,
2019-10-22,2019-10-23,Few_clouds,,,,,,
2019-10-23,2019-10-24,Few_clouds,,,,,,
2019-10-24,2019-10-25,Few_clouds,,,,,,
2019-10-25,2019-10-26,Few_clouds,,,,,,
2019-10-26,2019-10-27,Few_clouds,68.83,12.67,0.0,26.5,c02d,801
2019-10-27,2019-10-28,Few_clouds,,,,,,
2019-10-28,2019-10-29,Few_clouds,,,,,,
2019-10-29,2019-10-30,Few_clouds,61.33,10.75,0.0,27.5,c02d,801
2019-10-30,2019-10-31,Few_clouds,78.0,12.5,0.0,23.0,c02n,801
2019-10-31,2019-11-01,Few_clouds,,,,,,
2019-11-01,2019-11-02,Few_clouds,,,,,,
2019-11-02,2019-11-03,Few_clouds,,,,,,
2019-11-03,2019-11-04,Few_clouds,,,,,,
2019-11-04,2019-11-05,Few_clouds,63.0,11.8,0.0,27.8,c02d,801
2019-11-05,2019-11-06,Few_clouds,,,,,,
2019-11-06,2019-11-07,Few_clouds,65.75,6.62,0.0,27.75,c02d,801
2019-11-07,2019-11-08,Few_clouds,,,,,,
2019-11-08,2019-11-09,Few_clouds,,,,,,
2019-11-09,2019-11-10,Few_clouds,67.0,7.5,0.0,26.5,c02d,801
2019-11-10,2019-11-11,Few_clouds,,,,,,
2019-11-11,2019-11-12,Few_clouds,,,,,,
2019-11-12,2019-11-13,Few_clouds,69.0,19.0,0.0,26.0,c02d,801
2019-11-13,2019-11-14,Few_clouds,,,,,,
2019-11-14,2019-11-15,Few_clouds,,,,,,
2019-11-15,2019-11-16,Few_clouds,,,,,,
2019-11-16,2019-11-17,Few_clouds,,,,,,
2019-11-17,2019-11-18,Few_clouds,,,,,,
2019-11-18,2019-11-19,Few_clouds,,,,,,
2019-11-19,2019-11-20,Few_clouds,,,,,,
2019-11-20,2019-11-21,Few_clouds,58.0,19.0,0.0,30.0,c02d,801
2019-11-21,2019-11-22,Few_clouds,,,,,,
2019-11-22,2019-11-23,Few_clouds,,,,,,
2019-11-23,2019-11-24,Few_clouds,,,,,,
2019-11-24,2019-11-25,Few_clouds,,,,,,
2019-11-25,2019-11-26,Few_clouds,62.5,16.5,0.0,28.75,c02d,801
2019-11-26,2019-11-27,Few_clouds,62.43,5.86,0.0,28.43,c02d,801
2019-11-27,2019-11-28,Few_clouds,,,,,,
2019-11-28,2019-11-29,Few_clouds,,,,,,
2019-11-29,2019-11-30,Few_clouds,,,,,,
2019-11-30,2019-12-01,Few_clouds,,,,,,
2019-12-01,2019-12-02,Few_clouds,,,,,,
2019-12-02,2019-12-03,Few_clouds,,,,,,
2019-12-03,2019-12-04,Few_clouds,,,,,,
2019-12-04,2019-12-05,Few_clouds,,,,,,
2019-12-05,2019-12-06,Few_clouds,,,,,,
2019-12-06,2019-12-07,Few_clouds,,,,,,
2019-12-07,2019-12-08,Few_clouds,,,,,,
2019-12-08,2019-12-09,Few_clouds,,,,,,
2019-12-09,2019-12-10,Few_clouds,,,,,,
2019-12-10,2019-12-11,Few_clouds,,,,,,
2019-12-11,2019-12-12,Few_clouds,,,,,,
2019-12-12,2019-12-13,Few_clouds,,,,,,
2019-12-13,2019-12-14,Few_clouds,,,,,,
2019-12-14,2019-12-15,Few_clouds,62.0,20.0,0.0,29.0,c02n,801
2019-12-15,2019-12-16,Few_clouds,,,,,,
2019-12-16,2019-12-17,Few_clouds,,,,,,
2019-12-17,2019-12-18,Few_clouds,,,,,,
2019-12-18,2019-12-19,Few_clouds,49.5,17.5,0.0,31.5,c02d,801
2019-12-19,2019-12-20,Few_clouds,,,,,,
2019-12-20,2019-12-21,Few_clouds,58.33,17.0,0.0,28.33,c02d,801
2019-12-21,2019-12-22,Few_clouds,,,,,,
2019-12-22,2019-12-23,Few_clouds,60.25,13.75,0.0,27.5,c02d,801
2019-12-23,2019-12-24,Few_clouds,,,,,,
2019-12-24,2019-12-25,Few_clouds,,,,,,
2019-12-25,2019-12-26,Few_clouds,,,,,,
2019-12-26,2019-12-27,Few_clouds,58.0,18.0,0.0,30.0,c02d,801
2019-12-27,2019-12-28,Few_clouds,,,,,,
2019-12-28,2019-12-29,Few_clouds,62.33,7.67,0.0,27.83,c02d,801
2019-12-29,2019-12-30,Few_clouds,,,,,,
2019-12-30,2019-12-31,Few_clouds,,,,,,
2019-12-31,2020-01-01,Few_clouds,,,,,,
2020-01-01,2020-01-02,Few_clouds,,,,,,
2020-01-02,2020-01-03,Few_clouds,,,,,,
2020-01-03,2020-01-04,Few_clouds,52.0,20.0,0.0,31.0,c02d,801
2020-01-04,2020-01-05,Few_clouds,,,,,,
2020-01-05,2020-01-06,Few_clouds,,,,,,
2020-01-06,2020-01-07,Few_clouds,62.62,8.12,0.0,30.0,c02d,801
2020-01-07,2020-01-08,Few_clouds,,,,,,
2020-01-08,2020-01-09,Few_clouds,,,,,,
2020-01-09,2020-01-10,Few_clouds,57.5,10.17,0.0,29.5,c02n,801
2020-01-10,2020-01-11,Few_clouds,50.29,11.29,0.0,32.57,c02d,801
2020-01-11,2020-01-12,Few_clouds,64.0,14.0,0.0,29.0,c02d,801
2020-01-12,2020-01-13,Few_clouds,80.0,10.88,0.0,26.62,c02n,801
2020-01-13,2020-01-14,Few_clouds,,,,,,
2020-01-14,2020-01-15,Few_clouds,,,,,,
2020-01-15,2020-01-16,Few_clouds,76.0,18.5,0.0,27.5,c02d,801
2020-01-16,2020-01-17,Few_clouds,,,,,,
2020-01-17,2020-01-18,Few_clouds,62.5,12.5,0.0,29.25,c02d,801
2020-01-18,2020-01-19,Few_clouds,,,,,,
2020-01-19,2020-01-20,Few_clouds,49.0,8.0,0.0,32.33,c02d,801
2020-01-20,2020-01-21,Few_clouds,,,,,,
2020-01-21,2020-01-22,Few_clouds,,,,,,
