time_start,time_end,cloud_description,relative_humidity,clouds,precip,temperature,icon,code
2018-10-01,2018-10-02,Overcast_clouds,80.5,76.17,0.0,22.0,c04n,804
2018-10-02,2018-10-03,Overcast_clouds,67.33,71.33,0.0,26.0,c04d,804
2018-10-03,2018-10-04,Overcast_clouds,77.0,85.89,0.0,23.67,c04n,804
2018-10-04,2018-10-05,Overcast_clouds,75.0,75.5,0.0,23.75,c04n,804
2018-10-05,2018-10-06,Overcast_clouds,0.0,85.67,0.0,23.67,c04d,804
2018-10-06,2018-10-07,Overcast_clouds,0.0,91.92,0.0,25.17,c04d,804
2018-10-07,2018-10-08,Overcast_clouds,3.17,90.48,0.0,23.87,c04n,804
2018-10-08,2018-10-09,Overcast_clouds,0.0,91.58,0.0,23.08,c04n,804
2018-10-09,2018-10-10,Overcast_clouds,0.0,80.25,0.0,23.92,c04n,804
2018-10-10,2018-10-11,Overcast_clouds,0.0,82.23,0.0,22.95,c04n,804
2018-10-11,2018-10-12,Overcast_clouds,0.0,86.5,0.0,22.06,c04n,804
2018-10-12,2018-10-13,Overcast_clouds,0.0,80.7,0.0,21.9,c04n,804
2018-10-13,2018-10-14,Overcast_clouds,0.0,81.12,0.0,24.75,c04n,804
2018-10-14,2018-10-15,Overcast_clouds,0.0,84.07,0.0,23.47,c04n,804
2018-10-15,2018-10-16,Overcast_clouds,0.0,82.86,0.0,22.86,c04n,804
2018-10-16,2018-10-17,Overcast_clouds,0.0,88.23,0.0,23.92,c04n,804
2018-10-17,2018-10-18,Overcast_clouds,0.0,88.38,0.0,22.25,c04n,804
2018-10-18,2018-10-19,Overcast_clouds,0.0,78.79,0.0,23.5,c04n,804
2018-10-19,2018-10-20,Overcast_clouds,14.38,88.04,0.0,20.25,c04n,804
2018-10-20,2018-10-21,Overcast_clouds,0.0,87.94,0.0,25.29,c04n,804
2018-10-21,2018-10-22,Overcast_clouds,26.0,84.33,0.0,21.78,c04n,804
2018-10-22,2018-10-23,Overcast_clouds,79.5,85.0,0.0,22.1,c04n,804
2018-10-23,2018-10-24,Overcast_clouds,75.5,84.36,0.0,24.43,c04n,804
2018-10-24,2018-10-25,Overcast_clouds,74.0,90.05,0.0,24.5,c04n,804
2018-10-25,2018-10-26,Overcast_clouds,82.44,86.0,0.0,14.11,c04n,804
2018-10-26,2018-10-27,Overcast_clouds,75.33,87.33,0.0,22.89,c04n,804
2018-10-27,2018-10-28,Overcast_clouds,84.11,78.0,0.0,21.67,c04n,804
2018-10-28,2018-10-29,Overcast_clouds,80.0,75.8,0.0,22.4,c04n,804
2018-10-29,2018-10-30,Overcast_clouds,81.12,86.5,0.0,22.62,c04n,804
2018-10-30,2018-10-31,Overcast_clouds,78.0,85.0,0.0,23.0,c04n,804
2018-10-31,2018-11-01,Overcast_clouds,,,,,,
2018-11-01,2018-11-02,Overcast_clouds,75.5,87.5,0.0,24.1,c04n,804
2018-11-02,2018-11-03,Overcast_clouds,73.4,89.53,0.0,24.67,c04n,804
2018-11-03,2018-11-04,Overcast_clouds,81.5,85.62,0.0,23.62,c04n,804
2018-11-04,2018-11-05,Overcast_clouds,78.5,82.5,0.0,24.12,c04n,804
2018-11-05,2018-11-06,Overcast_clouds,69.57,76.86,0.0,25.14,c04n,804
2018-11-06,2018-11-07,Overcast_clouds,83.0,80.0,0.0,23.0,c04n,804
2018-11-07,2018-11-08,Overcast_clouds,74.13,91.13,0.0,24.96,c04n,804
2018-11-08,2018-11-09,Overcast_clouds,75.16,87.21,0.0,24.89,c04n,804
2018-11-09,2018-11-10,Overcast_clouds,75.26,93.53,0.0,24.0,c04n,804
