time_start,time_end,cloud_description,relative_humidity,clouds,precip,temperature,icon,code
2019-10-01,2019-10-02,Scattered_clouds,,,,,,
2019-10-02,2019-10-03,Scattered_clouds,,,,,,
2019-10-03,2019-10-04,Scattered_clouds,,,,,,
2019-10-04,2019-10-05,Scattered_clouds,78.0,36.5,0.0,23.0,c02n,802
2019-10-05,2019-10-06,Scattered_clouds,68.95,31.85,0.0,26.05,c02n,802
2019-10-06,2019-10-07,Scattered_clouds,58.0,33.0,0.0,29.5,c02d,802
2019-10-07,2019-10-08,Scattered_clouds,65.0,24.0,0.0,27.33,c02d,802
2019-10-08,2019-10-09,Scattered_clouds,75.5,37.0,0.0,23.5,c02n,802
2019-10-09,2019-10-10,Scattered_clouds,71.0,26.0,0.0,25.5,c02n,802
2019-10-10,2019-10-11,Scattered_clouds,77.12,29.0,0.0,23.25,c02n,802
2019-10-11,2019-10-12,Scattered_clouds,66.75,28.25,0.0,26.5,c02n,802
2019-10-12,2019-10-13,Scattered_clouds,78.0,34.5,0.0,22.5,c02n,802
2019-10-13,2019-10-14,Scattered_clouds,63.0,37.0,0.0,27.5,c02d,802
2019-10-14,2019-10-15,Scattered_clouds,59.6,23.6,0.0,28.6,c02d,802
2019-10-15,2019-10-16,Scattered_clouds,,,,,,
2019-10-16,2019-10-17,Scattered_clouds,,,,,,
2019-10-17,2019-10-18,Scattered_clouds,72.33,30.33,0.0,25.5,c02n,802
2019-10-18,2019-10-19,Scattered_clouds,,,,,,
2019-10-19,2019-10-20,Scattered_clouds,,,,,,
2019-10-20,2019-10-21,Scattered_clouds,,,,,,
2019-10-21,2019-10-22,Scattered_clouds,,,,,,
2019-10-22,2019-10-23,Scattered_clouds,67.0,33.67,0.0,26.33,c02d,802
2019-10-23,2019-10-24,Scattered_clouds,,,,,,
2019-10-24,2019-10-25,Scattered_clouds,,,,,,
2019-10-25,2019-10-26,Scattered_clouds,69.2,34.6,0.0,25.8,c02d,802
2019-10-26,2019-10-27,Scattered_clouds,81.4,32.0,0.0,22.6,c02n,802
